HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
57.0,150,0.778,0.685,12,3,11.6,9.8,0.666,2.1,0.764,22.9,0.631,7.3,1.9,40.1
58.0,26,0.777,0.692,11,5,10.8,7.9,0.759,5.8,0.706,18.8,0.618,4.3,1,28.2
59.0,15,0.776,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,8.1,0.783,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
60.0,139,0.775,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,12,0.692,23,0.565,9.792307692307691,2.1817307692307706,40.39057971014495
61.0,5,0.774,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,8,0.792,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
62.0,111,0.773,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,4.9,0.805,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,11.3,2.6,46.2
63.0,117,0.771,0.662,14.2,-2,14.1,9.2,0.749,13.2,0.623,19.8,0.621,9.792307692307691,2.1817307692307706,40.39057971014495
64.0,188,0.766,0.649,15.2,-6,15,16.4,0.641,6.6,0.654,21.9,0.653,9.792307692307691,2.1817307692307706,40.39057971014495
65.0,101,0.765,0.606,20.8,-17,20.3,6.7,0.861,24.1,0.479,30,0.538,9.792307692307691,2.1817307692307706,40.39057971014495
65.0,141,0.765,0.596,22.1,-18,21.4,12.1,0.778,16.3,0.55,35.8,0.494,17.1,3.6,51.9
67.0,201,0.764,0.613,19.7,-10,19.4,12.2,0.738,17.6,0.562,28.4,0.556,11.5,2.4,44.8
68.0,41,0.763,0.611,19.9,-11,19.1,7.3,0.855,15.7,0.551,34.3,0.483,14.5,3.3,50.7
69.0,190,0.759,0.639,15.8,-3,15.6,11,0.757,14.1,0.56,21.8,0.616,8.3,1.9,40
70.0,90,0.757,0.667,11.9,9,11.8,16.7,0.596,5.9,0.717,12.7,0.695,4.2,1.1,29
71.0,119,0.756,0.583,22.9,-13,22.3,10.9,0.788,21.4,0.501,34.6,0.5,10.7,2.7,47.2
71.0,161,0.756,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,7.9,0.754,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,18.8,6.4,65.8
73.0,152,0.75,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
73.0,173,0.75,0.643,14.3,1,14.2,8.3,0.766,14.6,0.63,19.6,0.55,5.8,1.6,36.4
75.0,82,0.749,0.498,33.6,-34,32.1,12.5,0.728,37.3,0.429,46.6,0.395,7,1.7,38.3
76.0,11,0.747,0.659,11.8,7,11.5,21.7,0.611,8.3,0.642,4.5,0.73,5.3,1.4,33.7
77.0,89,0.745,0.607,18.6,-5,18.5,11.9,0.73,22.4,0.543,21.1,0.564,5.7,1.5,35.4
77.0,160,0.745,0.663,10.9,12,10.9,8.5,0.761,10.7,0.621,13.5,0.618,4.6,1.1,29.6
79.0,24,0.744,0.542,27,-16,26.3,14.5,0.709,24.7,0.498,39.7,0.452,20.6,4.3,54.7
79.0,65,0.744,0.636,14.5,4,14,12.9,0.728,3.3,0.745,25.9,0.474,9.5,2.1,42.1
