HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012-2013 Change in rank
123.0,32,0.636,75.1,-1,3.5,4,13.2,-1,6365.0,-1,0.635,-2.0
124.0,120,0.63,69.0,-1,8.8,6,11.4,4,3662.0,-1,0.629,0.0
125.0,70,0.628,72.1,-1,5.6,-1,10.7,-1,6866.0,-1,0.626,0.0
125.0,96,0.628,67.5,-1,9.3,-1,12.5,-1,3021.0,-1,0.621,1.0
127.0,128,0.624,64.5,-1,6.2,-1,11.3,-1,9185.0,-1,0.62,0.0
128.0,185,0.62,67.5,-1,4.4,7,11.7,-1,9674.0,-1,0.616,1.0
129.0,76,0.617,73.8,-1,5.5,-1,11.6,-1,4138.0,-1,0.616,0.0
129.0,125,0.617,70.9,-1,4.4,-1,11.6,-1,6905.0,-1,0.614,2.0
131.0,200,0.616,71.6,-1,9.0,3,10.6,-1,2652.0,-1,0.617,-3.0
132.0,133,0.614,74.8,-1,5.8,-1,10.5,-1,4266.0,-1,0.611,0.0
133.0,92,0.607,68.9,-1,7.8,4,12.3,-1,2645.0,-1,0.606,0.0
133.0,181,0.607,67.2,-1,9.9,-1,11.2,-1,2424.0,-1,0.603,1.0
135.0,80,0.586,66.4,-1,4.4,-1,11.7,-1,5150.0,-1,0.583,0.0
136.0,20,0.584,68.3,-1,2.3,7,12.4,-1,6775.0,-1,0.58,0.0
136.0,29,0.584,71.9,-1,5.8,-1,10.9,-1,2805.0,-1,0.579,1.0
138.0,67,0.573,61.1,-1,7.0,-1,11.5,-1,3532.0,-1,0.5710000000000001,0.0
139.0,97,0.569,68.3,-1,4.6,-1,10.2,-1,4351.0,-1,0.565,0.0
140.0,39,0.564,58.8,-1,6.1,-1,11.1,-1,4909.0,-1,0.561,0.0
141.0,206,0.561,58.1,-1,6.5,-1,13.5,-1,2898.0,-1,0.5539999999999999,2.0
142.0,14,0.5579999999999999,70.7,-1,5.1,-1,10.0,-1,2713.0,-1,0.5539999999999999,1.0
142.0,157,0.5579999999999999,66.3,-1,4.7,7,11.3,-1,3111.0,-1,0.556,-1.0
144.0,55,0.556,53.1,-1,5.4,4,8.5,-1,21972.0,-1,0.556,-3.0
93.81283422459893,107,0.493,59.4,-1,4.2,-1,9.0,-1,2904.0,-1,0.49,-0.0427807486631016
145.0,130,0.54,68.4,-1,3.2,-1,12.4,-1,2194.0,-1,0.537,0.0
146.0,138,0.537,66.6,-1,4.7,-1,7.7,-1,4652.0,-1,0.535,0.0
147.0,91,0.535,61.7,-1,6.3,-1,11.0,-1,2158.0,-1,0.531,0.0
148.0,177,0.53,49.0,-1,7.1,-1,11.3,-1,5536.0,-1,0.529,0.0
149.0,4,0.526,51.9,-1,4.7,7,11.4,-1,6323.0,-1,0.524,0.0
150.0,127,0.524,65.2,-1,4.0,-1,8.6,-1,3998.0,2,0.52,0.0
151.0,151,0.506,64.1,-1,3.3,-1,13.2,-1,1403.0,-1,0.502,0.0
152.0,30,0.504,55.1,-1,5.9,-1,10.4,-1,2557.0,-1,0.501,0.0
152.0,135,0.504,52.5,-1,5.2,7,9.0,-1,5353.0,-1,0.5,1.0
154.0,205,0.5,63.1,-1,2.5,-1,9.2,-1,3945.0,-1,0.499,0.0
155.0,109,0.498,64.7,-1,5.2,4,10.3,-1,1333.0,-1,0.496,0.0
156.0,207,0.49200000000000005,59.9,-1,7.2,-1,9.3,-1,1307.0,-1,0.484,4.0
157.0,142,0.491,62.4,-1,3.9,-1,8.9,4,2453.0,-1,0.49,-1.0
157.0,167,0.491,67.7,-1,4.5,4,9.2,-1,1385.0,-1,0.489,0.0
159.0,38,0.488,60.9,-1,2.8,-1,12.8,-1,1505.0,-1,0.486,-1.0
159.0,182,0.488,61.5,-1,5.1,-1,9.2,-1,1702.0,-1,0.484,1.0
161.0,116,0.48700000000000004,61.6,-1,3.7,-1,8.2,-1,2988.0,-1,0.485,-2.0
162.0,102,0.486,49.4,-1,5.9,0,11.1,-1,2798.0,-1,0.48100000000000004,1.0
163.0,159,0.485,63.5,-1,4.5,-1,7.9,-1,2169.0,-1,0.484,-3.0
164.0,193,0.484,59.2,-1,5.4,-1,10.8,-1,1335.0,-1,0.48,0.0
165.0,19,0.47600000000000003,59.3,-1,3.2,-1,11.0,-1,1726.0,-1,0.473,0.0
166.0,175,0.473,62.1,-1,3.1,-1,7.3,4,3428.0,-1,0.47200000000000003,0.0
166.0,186,0.473,56.5,-1,5.3,-1,12.2,-1,1129.0,-1,0.47,1.0
168.0,74,0.47100000000000003,63.1,-1,4.9,-1,7.6,4,1636.0,-1,0.469,0.0
169.0,0,0.46799999999999997,60.9,-1,3.2,-1,9.3,-1,1904.0,-1,0.466,0.0
170.0,48,0.467,61.8,-1,3.8,5,6.4,-1,3109.0,2,0.465,0.0
